symbol,announce_time,session,analyst_surprise,source
PFE,2023-10-13 17:30:20,amc,,sec_8k_2.02
BAC,2023-10-17 06:48:23,bmo,,sec_8k_2.02
GS,2023-10-17 07:32:36,bmo,,sec_8k_2.02
JNJ,2023-10-17 07:33:25,bmo,,sec_8k_2.02
PG,2023-10-18 06:58:25,bmo,,sec_8k_2.02
KO,2023-10-24 06:57:49,bmo,,sec_8k_2.02
GOOGL,2023-10-24 16:01:23,amc,,sec_8k_2.02
MSFT,2023-10-24 16:03:29,amc,,sec_8k_2.02
META,2023-10-25 16:20:51,amc,,sec_8k_2.02
INTC,2023-10-26 12:09:55,intraday,,sec_8k_2.02
AMZN,2023-10-26 16:14:51,amc,,sec_8k_2.02
CVX,2023-10-27 06:16:38,bmo,,sec_8k_2.02
PFE,2023-10-31 08:04:50,bmo,,sec_8k_2.02
AAPL,2023-11-02 16:30:32,amc,,sec_8k_2.02
HD,2023-11-14 06:11:56,bmo,,sec_8k_2.02
CSCO,2023-11-15 16:09:32,amc,,sec_8k_2.02
WMT,2023-11-16 06:59:45,bmo,,sec_8k_2.02
NVDA,2023-11-21 16:22:00,amc,,sec_8k_2.02
ORCL,2023-12-11 16:12:30,amc,,sec_8k_2.02
PFE,2023-12-14 07:51:03,bmo,,sec_8k_2.02
CVX,2024-01-02 08:00:35,bmo,,sec_8k_2.02
BAC,2024-01-08 08:30:28,bmo,,sec_8k_2.02
BAC,2024-01-12 06:45:43,bmo,,sec_8k_2.02
JPM,2024-01-12 06:47:22,bmo,,sec_8k_2.02
GS,2024-01-16 07:34:01,bmo,,sec_8k_2.02
PG,2024-01-23 07:02:16,bmo,,sec_8k_2.02
JNJ,2024-01-23 07:45:37,bmo,,sec_8k_2.02
INTC,2024-01-25 11:07:43,intraday,,sec_8k_2.02
PFE,2024-01-30 08:04:28,bmo,,sec_8k_2.02
GOOGL,2024-01-30 16:01:26,amc,,sec_8k_2.02
MSFT,2024-01-30 16:03:17,amc,,sec_8k_2.02
AMZN,2024-02-01 16:06:02,amc,,sec_8k_2.02
META,2024-02-01 16:10:29,amc,,sec_8k_2.02
AAPL,2024-02-01 16:30:30,amc,,sec_8k_2.02
CVX,2024-02-02 06:17:17,bmo,,sec_8k_2.02
KO,2024-02-13 06:57:58,bmo,,sec_8k_2.02
CSCO,2024-02-14 16:11:04,amc,,sec_8k_2.02
HD,2024-02-20 06:15:16,bmo,,sec_8k_2.02
WMT,2024-02-20 06:59:55,bmo,,sec_8k_2.02
NVDA,2024-02-21 16:22:09,amc,,sec_8k_2.02
ORCL,2024-03-11 16:11:59,amc,,sec_8k_2.02
JPM,2024-04-12 06:45:53,bmo,,sec_8k_2.02
GS,2024-04-15 07:32:59,bmo,,sec_8k_2.02
BAC,2024-04-16 06:45:39,bmo,,sec_8k_2.02
JNJ,2024-04-16 07:06:41,bmo,,sec_8k_2.02
PG,2024-04-19 06:59:33,bmo,,sec_8k_2.02
META,2024-04-24 16:07:26,amc,,sec_8k_2.02
INTC,2024-04-25 12:09:45,intraday,,sec_8k_2.02
GOOGL,2024-04-25 16:01:35,amc,,sec_8k_2.02
MSFT,2024-04-25 16:03:19,amc,,sec_8k_2.02
CVX,2024-04-26 06:15:56,bmo,,sec_8k_2.02
KO,2024-04-30 06:58:54,bmo,,sec_8k_2.02
AMZN,2024-04-30 16:10:34,amc,,sec_8k_2.02
JNJ,2024-05-01 07:00:25,bmo,,sec_8k_2.02
PFE,2024-05-01 08:11:26,bmo,,sec_8k_2.02
AAPL,2024-05-02 16:30:34,amc,,sec_8k_2.02
HD,2024-05-14 06:23:30,bmo,,sec_8k_2.02
CSCO,2024-05-15 16:09:01,amc,,sec_8k_2.02
WMT,2024-05-16 06:59:59,bmo,,sec_8k_2.02
NVDA,2024-05-22 16:21:29,amc,,sec_8k_2.02
ORCL,2024-06-11 16:15:50,amc,,sec_8k_2.02
